Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:49<00:00, 12.44s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,518,202,624
TRAINABLE PARAMS: 168,666,880 (3.0566%)
------------------------------
 > LLM LoRA Params (Trainable):      6,815,744
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Frozen): 8,195,840
 > Adapter Params (Frozen): 21,510,144
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 21,510,144
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,851,527,680
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                           

{'loss': 2.9096, 'grad_norm': 5.774530410766602, 'learning_rate': 6.675e-05, 'loss/total_loss': 0.7162233352661133, 'loss/lm_loss': 0.7162233352661133, 'epoch': 0.06}
{'loss': 2.8542, 'grad_norm': 6.126204490661621, 'learning_rate': 6.925e-05, 'loss/total_loss': 0.7251468658447265, 'loss/lm_loss': 0.7251468658447265, 'epoch': 0.06}
{'loss': 2.6673, 'grad_norm': 7.260321617126465, 'learning_rate': 7.175000000000001e-05, 'loss/total_loss': 0.683932876586914, 'loss/lm_loss': 0.683932876586914, 'epoch': 0.07}
{'loss': 2.5736, 'grad_norm': 7.146786689758301, 'learning_rate': 7.425e-05, 'loss/total_loss': 0.6392156600952148, 'loss/lm_loss': 0.6392156600952148, 'epoch': 0.07}
{'loss': 2.5538, 'grad_norm': 5.984792709350586, 'learning_rate': 7.675e-05, 'loss/total_loss': 0.7121803283691406, 'loss/lm_loss': 0.7121803283691406, 'epoch': 0.07}
{'loss': 2.4873, 'grad_norm': 5.699403285980225, 'learning_rate': 7.925e-05, 'loss/total_loss': 0.6368060111999512, 'loss/lm_loss': 0.6368060111999512, 'epoch': 0.07}
{'loss': 2.3582, 'grad_norm': 6.722002983093262, 'learning_rate': 8.175000000000001e-05, 'loss/total_loss': 0.621262788772583, 'loss/lm_loss': 0.621262788772583, 'epoch': 0.07}
{'loss': 2.267, 'grad_norm': 6.198437213897705, 'learning_rate': 8.425e-05, 'loss/total_loss': 0.5518759250640869, 'loss/lm_loss': 0.5518759250640869, 'epoch': 0.08}
{'loss': 2.1664, 'grad_norm': 5.9473748207092285, 'learning_rate': 8.675000000000001e-05, 'loss/total_loss': 0.4993589401245117, 'loss/lm_loss': 0.4993589401245117, 'epoch': 0.08}
{'loss': 2.0373, 'grad_norm': 6.758882522583008, 'learning_rate': 8.925e-05, 'loss/total_loss': 0.5214624881744385, 'loss/lm_loss': 0.5214624881744385, 'epoch': 0.08}
{'loss': 1.9093, 'grad_norm': 6.884708404541016, 'learning_rate': 9.175000000000001e-05, 'loss/total_loss': 0.4851244926452637, 'loss/lm_loss': 0.4851244926452637, 'epoch': 0.08}
{'loss': 1.8922, 'grad_norm': 6.558801651000977, 'learning_rate': 9.425e-05, 'loss/total_loss': 0.49591064453125, 'loss/lm_loss': 0.49591064453125, 'epoch': 0.09}
{'loss': 1.7355, 'grad_norm': 4.791484832763672, 'learning_rate': 9.675000000000001e-05, 'loss/total_loss': 0.44396772384643557, 'loss/lm_loss': 0.44396772384643557, 'epoch': 0.09}
{'loss': 1.5878, 'grad_norm': 5.602747440338135, 'learning_rate': 9.925000000000001e-05, 'loss/total_loss': 0.4109797954559326, 'loss/lm_loss': 0.4109797954559326, 'epoch': 0.09}
{'loss': 1.4986, 'grad_norm': 6.95566463470459, 'learning_rate': 9.999735229593767e-05, 'loss/total_loss': 0.3743804693222046, 'loss/lm_loss': 0.3743804693222046, 'epoch': 0.09}
{'loss': 1.4685, 'grad_norm': 5.644933700561523, 'learning_rate': 9.99935698615629e-05, 'loss/total_loss': 0.3834146738052368, 'loss/lm_loss': 0.3834146738052368, 'epoch': 0.1}
{'loss': 1.3229, 'grad_norm': 6.731944561004639, 'learning_rate': 9.998978742718815e-05, 'loss/total_loss': 0.33122930526733396, 'loss/lm_loss': 0.33122930526733396, 'epoch': 0.1}
{'loss': 1.3051, 'grad_norm': 7.102471828460693, 'learning_rate': 9.998600499281337e-05, 'loss/total_loss': 0.31472804546356203, 'loss/lm_loss': 0.31472804546356203, 'epoch': 0.1}
{'loss': 1.1583, 'grad_norm': 4.89769983291626, 'learning_rate': 9.998222255843862e-05, 'loss/total_loss': 0.27236917018890383, 'loss/lm_loss': 0.27236917018890383, 'epoch': 0.1}
{'loss': 1.2259, 'grad_norm': 5.855926513671875, 'learning_rate': 9.997844012406386e-05, 'loss/total_loss': 0.3075068950653076, 'loss/lm_loss': 0.3075068950653076, 'epoch': 0.1}
{'loss': 1.1608, 'grad_norm': 5.1075615882873535, 'learning_rate': 9.997465768968909e-05, 'loss/total_loss': 0.256768536567688, 'loss/lm_loss': 0.256768536567688, 'epoch': 0.11}
{'loss': 1.1988, 'grad_norm': 6.636476993560791, 'learning_rate': 9.997087525531432e-05, 'loss/total_loss': 0.286772632598877, 'loss/lm_loss': 0.286772632598877, 'epoch': 0.11}
{'loss': 1.0584, 'grad_norm': 5.237310409545898, 'learning_rate': 9.996709282093956e-05, 'loss/total_loss': 0.2651401996612549, 'loss/lm_loss': 0.2651401996612549, 'epoch': 0.11}
{'loss': 0.9734, 'grad_norm': 5.074512004852295, 'learning_rate': 9.99633103865648e-05, 'loss/total_loss': 0.2606128931045532, 'loss/lm_loss': 0.2606128931045532, 'epoch': 0.11}
 99%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▍ | 165/167 [19:03<00:17,  8.96s/it]
