Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:33<00:00,  8.38s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,539,700,480
TRAINABLE PARAMS: 190,164,736 (3.4328%)
------------------------------
 > LLM LoRA Params (Trainable):      6,815,744
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Frozen): 8,195,840
 > Adapter Params (Frozen): 43,008,000
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 43,008,000
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,851,527,680
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                                        

{'loss': 2.5853, 'grad_norm': 5.604157447814941, 'learning_rate': 6.625e-05, 'loss/total_loss': 0.637016773223877, 'loss/lm_loss': 0.637016773223877, 'epoch': 0.06}
{'loss': 2.5511, 'grad_norm': 6.221319198608398, 'learning_rate': 6.875e-05, 'loss/total_loss': 0.641040563583374, 'loss/lm_loss': 0.641040563583374, 'epoch': 0.06}
{'loss': 2.4434, 'grad_norm': 6.40272331237793, 'learning_rate': 7.125000000000001e-05, 'loss/total_loss': 0.6282732009887695, 'loss/lm_loss': 0.6282732009887695, 'epoch': 0.07}
{'loss': 2.3635, 'grad_norm': 7.448769569396973, 'learning_rate': 7.375e-05, 'loss/total_loss': 0.5775533199310303, 'loss/lm_loss': 0.5775533199310303, 'epoch': 0.07}
{'loss': 2.3552, 'grad_norm': 5.902919769287109, 'learning_rate': 7.625e-05, 'loss/total_loss': 0.6623871803283692, 'loss/lm_loss': 0.6623871803283692, 'epoch': 0.07}
{'loss': 2.3046, 'grad_norm': 6.8852338790893555, 'learning_rate': 7.875e-05, 'loss/total_loss': 0.596320915222168, 'loss/lm_loss': 0.596320915222168, 'epoch': 0.07}
{'loss': 2.2387, 'grad_norm': 5.106983184814453, 'learning_rate': 8.125000000000001e-05, 'loss/total_loss': 0.5920008182525635, 'loss/lm_loss': 0.5920008182525635, 'epoch': 0.07}
{'loss': 2.1318, 'grad_norm': 6.187252521514893, 'learning_rate': 8.375e-05, 'loss/total_loss': 0.517136812210083, 'loss/lm_loss': 0.517136812210083, 'epoch': 0.08}
{'loss': 2.0602, 'grad_norm': 6.427732944488525, 'learning_rate': 8.625000000000001e-05, 'loss/total_loss': 0.47794814109802247, 'loss/lm_loss': 0.47794814109802247, 'epoch': 0.08}
{'loss': 1.9385, 'grad_norm': 9.27474594116211, 'learning_rate': 8.875e-05, 'loss/total_loss': 0.48877720832824706, 'loss/lm_loss': 0.48877720832824706, 'epoch': 0.08}
