Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:53<00:00, 13.40s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,511,386,880
TRAINABLE PARAMS: 161,851,136 (2.9367%)
------------------------------
 > LLM LoRA Params (Trainable):      0
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Frozen): 8,195,840
 > Adapter Params (Frozen): 21,510,144
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 21,510,144
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,844,711,936
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                          
{'loss': 3.7259, 'grad_norm': 12.701995849609375, 'learning_rate': 6.7e-05, 'loss/total_loss': 0.9247278213500977, 'loss/lm_loss': 0.9247278213500977, 'epoch': 0.06}
{'loss': 3.6879, 'grad_norm': 10.248270034790039, 'learning_rate': 6.95e-05, 'loss/total_loss': 0.9377293586730957, 'loss/lm_loss': 0.9377293586730957, 'epoch': 0.06}
{'loss': 3.5465, 'grad_norm': 11.38278865814209, 'learning_rate': 7.2e-05, 'loss/total_loss': 0.9193246841430665, 'loss/lm_loss': 0.9193246841430665, 'epoch': 0.07}
{'loss': 3.5089, 'grad_norm': 9.781939506530762, 'learning_rate': 7.450000000000001e-05, 'loss/total_loss': 0.8945070266723633, 'loss/lm_loss': 0.8945070266723633, 'epoch': 0.07}
{'loss': 3.4668, 'grad_norm': 10.283987998962402, 'learning_rate': 7.7e-05, 'loss/total_loss': 0.9306221008300781, 'loss/lm_loss': 0.9306221008300781, 'epoch': 0.07}
{'loss': 3.4642, 'grad_norm': 9.988334655761719, 'learning_rate': 7.950000000000001e-05, 'loss/total_loss': 0.8821175575256348, 'loss/lm_loss': 0.8821175575256348, 'epoch': 0.07}
{'loss': 3.3523, 'grad_norm': 7.60722017288208, 'learning_rate': 8.2e-05, 'loss/total_loss': 0.8892863273620606, 'loss/lm_loss': 0.8892863273620606, 'epoch': 0.07}
{'loss': 3.2485, 'grad_norm': 11.016500473022461, 'learning_rate': 8.450000000000001e-05, 'loss/total_loss': 0.8143196105957031, 'loss/lm_loss': 0.8143196105957031, 'epoch': 0.08}
{'loss': 3.1105, 'grad_norm': 7.87548828125, 'learning_rate': 8.7e-05, 'loss/total_loss': 0.7296623706817627, 'loss/lm_loss': 0.7296623706817627, 'epoch': 0.08}
{'loss': 3.029, 'grad_norm': 11.207892417907715, 'learning_rate': 8.950000000000001e-05, 'loss/total_loss': 0.759871244430542, 'loss/lm_loss': 0.759871244430542, 'epoch': 0.08}
